TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FetchTimestampUTC,SourceEndpoint,SeasonFetched
1611661330,Atlanta Dream,7,5,2,0.714,40.0,29.6,68.3,0.433,8.3,26.7,0.31,16.4,22.0,0.747,11.4,26.3,37.7,19.9,16.0,8.4,3.4,5.6,15.9,19.9,83.9,4.1,10,2,1,2,4,6,7,9,8,5,12,10,9,12,1,5,1,7,10,3,12,13,1,11,9,4,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661329,Chicago Sky,8,3,5,0.375,40.0,28.5,69.8,0.409,5.9,23.8,0.247,19.9,25.9,0.768,8.5,26.1,34.6,19.3,12.0,6.4,5.4,5.6,21.3,21.5,82.8,-3.5,7,11,12,12,4,12,4,14,13,10,15,4,2,9,7,6,6,8,3,13,3,15,8,7,12,12,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661323,Connecticut Sun,9,1,8,0.111,40.0,28.1,69.2,0.406,5.2,19.9,0.263,13.2,19.7,0.672,10.2,23.3,33.6,17.9,16.4,8.4,3.2,5.1,23.1,20.4,74.7,-14.2,1,15,15,15,4,13,6,15,15,14,13,15,11,15,2,12,8,12,14,2,13,12,12,10,15,15,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661321,Dallas Wings,8,5,3,0.625,40.0,32.3,69.3,0.466,9.1,24.5,0.372,15.3,19.1,0.797,7.9,23.8,31.6,23.4,11.8,6.5,3.6,3.1,19.1,18.4,88.9,4.1,7,2,4,4,4,4,5,4,5,7,1,11,12,6,8,11,11,1,2,11,10,3,3,15,5,5,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661331,Golden State Valkyries,7,5,2,0.714,40.0,29.3,71.1,0.412,10.9,29.6,0.367,17.0,22.7,0.748,10.1,24.6,34.7,19.1,10.6,6.3,5.3,4.4,21.4,23.0,86.4,8.4,10,2,1,2,4,8,2,13,1,2,2,9,7,11,3,8,5,9,1,14,4,10,9,4,8,2,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661325,Indiana Fever,7,4,3,0.571,40.7,32.1,71.0,0.453,9.4,28.4,0.332,19.1,22.9,0.838,7.6,25.6,33.1,22.3,15.4,7.0,3.9,5.6,24.1,24.7,92.9,5.4,10,8,4,5,2,5,3,7,4,3,10,5,6,3,10,7,9,2,8,9,8,13,14,2,1,3,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661319,Las Vegas Aces,7,4,3,0.571,40.0,35.3,71.6,0.493,7.1,20.6,0.347,13.3,18.3,0.727,7.7,27.6,35.3,22.1,14.0,6.7,7.1,2.9,18.0,19.3,91.0,2.4,10,8,4,5,4,1,1,3,11,12,5,14,14,14,9,2,4,3,6,10,1,1,2,13,3,7,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661320,Los Angeles Sparks,7,4,3,0.571,40.0,32.6,64.9,0.502,8.9,24.4,0.363,17.6,22.3,0.788,7.1,20.9,28.0,21.1,16.6,8.0,2.1,5.0,23.4,23.1,91.6,-3.1,10,8,4,5,4,3,12,1,6,8,3,8,8,8,12,15,14,5,15,5,15,11,13,3,2,10,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661324,Minnesota Lynx,8,6,2,0.75,40.0,34.0,68.3,0.498,6.8,19.9,0.34,13.6,18.3,0.747,8.6,29.0,37.6,21.1,16.0,8.5,5.0,3.8,20.4,18.5,88.4,9.3,7,1,1,1,4,2,8,2,12,15,8,13,15,13,6,1,2,6,10,1,5,7,5,14,6,1,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
1611661313,New York Liberty,9,5,4,0.556,40.6,29.3,64.2,0.457,10.1,28.1,0.36,17.8,20.4,0.87,6.7,27.1,33.8,21.7,15.7,6.4,3.6,3.4,21.1,21.2,86.6,3.3,1,2,8,8,3,7,13,5,3,4,4,7,10,1,14,3,7,4,9,12,11,4,7,8,7,6,2026-05-30T19:51:16.580139+00:00,leaguedashteamstats,2026
