Group,Name,Bets,Wins,Losses,WinRate,Stake,P_L,ROI,AvgOdds,AvgCLV
Signal,Wing vs Generous DREB,4,3,1,75.0,0.4,0.205,51.2,2.05,1.05
Signal,High Usage Big vs Stingy,13,8,5,61.5,1.3,0.2,15.4,1.867,-0.59
Signal,Elite DREB Playoff Total,1,1,0,100.0,0.1,0.115,115.0,2.15,0.0
Signal,DREB Generous Total,3,2,1,66.7,0.3,0.088,29.3,1.917,0.0
Signal,Big vs Generous DREB,1,1,0,100.0,0.1,0.083,83.0,1.83,
Signal,DREB Stingy Total,3,1,2,33.3,0.3,-0.11,-36.7,1.903,0.0
Signal,Speculative Over,2,0,2,0.0,0.2,-0.2,-100.0,1.96,0.55
Market,PRA,2,2,0,100.0,0.2,0.18,90.0,1.9,-2.55
Market,Game Total,7,4,3,57.1,0.7,0.093,13.3,1.944,0.0
Market,Points & Rebounds,1,1,0,100.0,0.1,0.086,86.0,1.86,
Market,Rebounds,15,8,7,53.3,1.5,0.032,2.1,1.922,0.38
Market,Double Double,2,1,1,50.0,0.2,-0.01,-5.0,1.865,0.0
MarketGroup,PRA,2,2,0,100.0,0.2,0.18,90.0,1.9,-2.55
MarketGroup,Game Total,7,4,3,57.1,0.7,0.093,13.3,1.944,0.0
MarketGroup,Points & Rebounds,1,1,0,100.0,0.1,0.086,86.0,1.86,
MarketGroup,Rebounds,15,8,7,53.3,1.5,0.032,2.1,1.922,0.38
MarketGroup,Double Double,2,1,1,50.0,0.2,-0.01,-5.0,1.865,0.0
BetType,Player Prop,20,12,8,60.0,2.0,0.288,14.4,1.911,-0.04
BetType,Game Total,7,4,3,57.1,0.7,0.093,13.3,1.944,0.0
DirectionNorm,UNDER,15,9,6,60.0,1.5,0.215,14.3,1.893,-0.54
DirectionNorm,OVER,10,6,4,60.0,1.0,0.176,17.6,1.97,0.59
DirectionNorm,NO,2,1,1,50.0,0.2,-0.01,-5.0,1.865,0.0
League,WNBA,26,15,11,57.7,2.6,0.266,10.2,1.911,-0.03
League,LPB,1,1,0,100.0,0.1,0.115,115.0,2.15,0.0
OddsBucket,1.90-2.04,11,7,4,63.6,1.1,0.258,23.5,1.937,0.53
OddsBucket,2.05+,5,3,2,60.0,0.5,0.135,27.0,2.13,0.0
OddsBucket,1.75-1.89,10,6,4,60.0,1.0,0.088,8.8,1.821,-0.84
OddsBucket,<1.75,1,0,1,0.0,0.1,-0.1,-100.0,1.66,0.0
CLVBucket,Bad CLV,2,2,0,100.0,0.2,0.156,78.0,1.78,-10.1
CLVBucket,Good CLV,3,2,1,66.7,0.3,0.08,26.7,1.867,5.63
CLVBucket,No CLV,5,3,2,60.0,0.5,0.074,14.8,1.896,
CLVBucket,Neutral CLV,17,9,8,52.9,1.7,0.071,4.2,1.952,0.16
Date,2026-05-25,6,4,2,66.7,0.6,0.228,38.0,2.015,0.0
Date,2026-05-21,6,4,2,66.7,0.6,0.153,25.5,1.872,3.27
Date,2026-05-23,4,3,1,75.0,0.4,0.146,36.5,1.832,-5.05
Date,2026-05-28,5,3,2,60.0,0.5,0.074,14.8,1.896,
Date,2026-05-24,6,2,4,33.3,0.6,-0.22,-36.7,1.95,0.0
