game,away_team,home_team,created_at_utc,projection,line,edge,confidence,away_team_pts_for_l3,away_team_pts_for_l5,away_team_pts_for_l10,away_team_margin_l5,away_playerlog_team_pts_l5,away_starter_minutes_concentration,away_bench_minutes_share,away_dash_pts,away_dash_plus_minus,away_dreb_allowed_blended_dreb_allowed,away_dreb_allowed_rank,home_team_pts_for_l3,home_team_pts_for_l5,home_team_pts_for_l10,home_team_margin_l5,home_playerlog_team_pts_l5,home_starter_minutes_concentration,home_bench_minutes_share,home_dash_pts,home_dash_plus_minus,home_dreb_allowed_blended_dreb_allowed,home_dreb_allowed_rank,combined_playerlog_pts_l5,combined_dash_pts,projection_minus_line,event_id,home_team_market,away_team_market,market_total_mean,market_total_median,market_total_min,market_total_max,market_total_range,market_total_books,market_total_rows,_home_code,_away_code
nan,LVA,DAL,2026-07-15T12:49:49.185467+00:00,175.0,,-1.5,34.0,91.0,89.6,89.7,0.8,93.2,0.7205171673679649,0.27948283263203505,91.0,2.4,26.09025974025974,5.0,87.66666666666667,84.8,88.8,0.8,89.2,0.7231420636748725,0.27685793632512745,88.9,4.1,26.03181818181818,6.0,182.4,179.9,,,,,,,,,,,,,
nan,IND,GSV,2026-07-15T12:49:49.185913+00:00,169.89,,2.89,41.0,95.66666666666667,96.4,99.1,6.6,91.8,0.7211576636189743,0.2788423363810258,92.9,5.4,24.79025974025974,8.0,77.66666666666667,77.4,78.1,7.6,83.8,0.6986862770826151,0.30131372291738495,86.4,8.4,25.61753246753247,7.0,175.6,179.3,,,,,,,,,,,,,
nan,MIN,CHI,2026-07-15T12:49:49.186259+00:00,169.18,,-0.82,45.0,87.0,84.8,88.7,0.4,87.8,0.743221783041188,0.25677821695881203,88.4,9.3,23.704545454545453,12.0,88.66666666666667,98.2,92.2,9.6,82.4,0.7061453953670802,0.29385460463291974,82.8,-3.5,26.21818181818182,3.0,170.2,171.2,,,,,,,,,,,,,
nan,LAS,WAS,2026-07-15T12:49:49.186615+00:00,175.52,,6.52,73.0,85.66666666666667,90.4,88.1,-11.0,97.0,0.7745172141582181,0.22548278584178189,91.6,-3.1,23.68311688311688,13.0,84.66666666666667,77.4,79.5,-4.0,84.6,0.7028651945290261,0.29713480547097376,83.4,-3.7,23.67207792207792,14.0,181.6,175.0,,,,,,,,,,,,,
nan,PHX,NYL,2026-07-15T12:49:49.186955+00:00,173.39,,3.89,56.0,81.66666666666667,86.6,85.5,2.8,80.0,0.6869807263848201,0.3130192736151799,,,26.98989898989899,2.0,81.0,83.6,88.4,-1.4,75.8,0.7245424583404475,0.2754575416595525,86.6,3.3,24.506565656565652,9.0,155.8,,,,,,,,,,,,,,
nan,ATL,PDX,2026-07-15T12:49:49.187285+00:00,169.84,,5.34,51.0,83.0,78.0,89.7,-7.8,83.8,0.767690036472564,0.23230996352743613,83.9,4.1,23.53246753246753,15.0,98.0,93.2,85.7,-8.8,78.0,0.6045510141038569,0.3954489858961432,,,23.77777777777777,11.0,161.8,,,,,,,,,,,,,,
POR @ WAS,POR,WAS,2026-07-15T12:49:49.187588+00:00,,165.7,,,,,,,,,,81.8,-3.4,,,84.66666666666667,77.4,79.5,-4.0,84.6,0.7028651945290261,0.29713480547097376,83.4,-3.7,23.67207792207792,14.0,,165.2,,00a997433337939ebda3beb882a1e2db,Washington Mystics,Portland Fire,165.7,165.5,165.5,166.0,0.5,5.0,10.0,WAS,POR
LAS @ MIN,LAS,MIN,2026-07-15T12:49:49.187881+00:00,,182.66666666666666,,,85.66666666666667,90.4,88.1,-11.0,97.0,0.7745172141582181,0.22548278584178189,91.6,-3.1,23.68311688311688,13.0,87.0,84.8,88.7,0.4,87.8,0.743221783041188,0.25677821695881203,88.4,9.3,23.704545454545453,12.0,184.8,180.0,,4db11d33553fba68fc607aaf009071aa,Minnesota Lynx,Los Angeles Sparks,182.66666666666666,182.5,182.5,183.5,1.0,9.0,18.0,MIN,LAS
NYL @ DAL,NYL,DAL,2026-07-15T12:49:49.188173+00:00,,175.5,,,81.0,83.6,88.4,-1.4,75.8,0.7245424583404475,0.2754575416595525,86.6,3.3,24.506565656565652,9.0,87.66666666666667,84.8,88.8,0.8,89.2,0.7231420636748725,0.27685793632512745,88.9,4.1,26.03181818181818,6.0,165.0,175.5,,51f9e00bb8d7debd5a922a21f0736e36,Dallas Wings,New York Liberty,175.5,175.5,175.5,175.5,0.0,5.0,10.0,DAL,NYL
GSV @ IND,GSV,IND,2026-07-15T12:49:49.188454+00:00,,167.5,,,77.66666666666667,77.4,78.1,7.6,83.8,0.6986862770826151,0.30131372291738495,86.4,8.4,25.61753246753247,7.0,95.66666666666667,96.4,99.1,6.6,91.8,0.7211576636189743,0.2788423363810258,92.9,5.4,24.79025974025974,8.0,175.6,179.3,,8eace0d4309db9d618e7ba857166324b,Indiana Fever,Golden State Valkyries,167.5,167.5,167.5,167.5,0.0,9.0,18.0,IND,GSV
SEA @ CHI,SEA,CHI,2026-07-15T12:49:49.188760+00:00,,171.11111111111111,,,73.66666666666667,85.0,85.2,3.2,77.6,0.7367143223327367,0.2632856776672634,78.7,-3.9,27.02626262626263,1.0,88.66666666666667,98.2,92.2,9.6,82.4,0.7061453953670802,0.29385460463291974,82.8,-3.5,26.21818181818182,3.0,160.0,161.5,,dd23179c4373849ae1da8476ec21def3,Chicago Sky,Seattle Storm,171.11111111111111,171.0,170.5,171.5,1.0,9.0,18.0,CHI,SEA
