game,away_team,home_team,created_at_utc,projection,line,edge,confidence,away_team_pts_for_l3,away_team_pts_for_l5,away_team_pts_for_l10,away_team_margin_l5,away_playerlog_team_pts_l5,away_starter_minutes_concentration,away_bench_minutes_share,away_dash_pts,away_dash_plus_minus,away_dreb_allowed_blended_dreb_allowed,away_dreb_allowed_rank,home_team_pts_for_l3,home_team_pts_for_l5,home_team_pts_for_l10,home_team_margin_l5,home_playerlog_team_pts_l5,home_starter_minutes_concentration,home_bench_minutes_share,home_dash_pts,home_dash_plus_minus,home_dreb_allowed_blended_dreb_allowed,home_dreb_allowed_rank,combined_playerlog_pts_l5,combined_dash_pts,projection_minus_line,event_id,home_team_market,away_team_market,market_total_mean,market_total_median,market_total_min,market_total_max,market_total_range,market_total_books,market_total_rows,_home_code,_away_code
nan,LVA,DAL,2026-08-28T21:32:39.677654+00:00,175.0,,-1.5,34.0,85.33333333333333,82.8,89.4,-7.8,93.2,0.7205171673679649,0.27948283263203505,91.0,2.4,26.09025974025974,5.0,83.66666666666667,83.4,84.9,-8.8,89.2,0.7231420636748725,0.27685793632512745,88.9,4.1,26.03181818181818,6.0,182.4,179.9,,,,,,,,,,,,,
nan,IND,GSV,2026-08-28T21:32:39.677972+00:00,169.89,,2.89,41.0,99.66666666666667,94.6,102.1,6.2,91.8,0.7211576636189743,0.2788423363810258,92.9,5.4,24.79025974025974,8.0,84.33333333333333,87.8,86.8,12.6,83.8,0.6986862770826151,0.30131372291738495,86.4,8.4,25.61753246753247,7.0,175.6,179.3,,,,,,,,,,,,,
nan,MIN,CHI,2026-08-28T21:32:39.678192+00:00,169.18,,-0.82,45.0,93.33333333333333,92.0,96.3,5.2,87.8,0.743221783041188,0.25677821695881203,88.4,9.3,23.704545454545453,12.0,80.33333333333333,84.4,88.6,-4.8,82.4,0.7061453953670802,0.29385460463291974,82.8,-3.5,26.21818181818182,3.0,170.2,171.2,,,,,,,,,,,,,
nan,LAS,WAS,2026-08-28T21:32:39.678395+00:00,175.52,,6.52,73.0,79.33333333333333,81.0,87.2,-4.0,97.0,0.7745172141582181,0.22548278584178189,91.6,-3.1,23.68311688311688,13.0,77.33333333333333,81.2,86.5,3.6,84.6,0.7028651945290261,0.29713480547097376,83.4,-3.7,23.67207792207792,14.0,181.6,175.0,,,,,,,,,,,,,
nan,PHX,NYL,2026-08-28T21:32:39.678596+00:00,173.39,,3.89,56.0,84.66666666666667,81.6,85.5,-6.6,80.0,0.6869807263848201,0.3130192736151799,,,26.98989898989899,2.0,86.33333333333333,92.4,95.8,8.6,75.8,0.7245424583404475,0.2754575416595525,86.6,3.3,24.506565656565652,9.0,155.8,,,,,,,,,,,,,,
nan,ATL,PDX,2026-08-28T21:32:39.678806+00:00,169.84,,5.34,51.0,100.66666666666667,94.4,94.3,10.4,83.8,0.767690036472564,0.23230996352743613,83.9,4.1,23.53246753246753,15.0,84.33333333333333,90.0,92.2,4.4,78.0,0.6045510141038569,0.3954489858961432,,,23.77777777777777,11.0,161.8,,,,,,,,,,,,,,
CHI @ NYL,CHI,NYL,2026-08-28T21:32:39.678981+00:00,,179.16666666666666,,,80.33333333333333,84.4,88.6,-4.8,82.4,0.7061453953670802,0.29385460463291974,82.8,-3.5,26.21818181818182,3.0,86.33333333333333,92.4,95.8,8.6,75.8,0.7245424583404475,0.2754575416595525,86.6,3.3,24.506565656565652,9.0,158.2,169.39999999999998,,0de4387925b67939993839b06126ed1f,New York Liberty,Chicago Sky,179.16666666666666,179.5,178.5,179.5,1.0,3.0,6.0,NYL,CHI
WAS @ LAS,WAS,LAS,2026-08-28T21:32:39.679146+00:00,,167.05555555555554,,,77.33333333333333,81.2,86.5,3.6,84.6,0.7028651945290261,0.29713480547097376,83.4,-3.7,23.67207792207792,14.0,79.33333333333333,81.0,87.2,-4.0,97.0,0.7745172141582181,0.22548278584178189,91.6,-3.1,23.68311688311688,13.0,181.6,175.0,,1b26020bcb94ee4afa6296071e87834f,Los Angeles Sparks,Washington Mystics,167.05555555555554,167.0,166.5,167.5,1.0,9.0,18.0,LAS,WAS
TOR @ LVA,TOR,LVA,2026-08-28T21:32:39.679311+00:00,,173.94444444444446,,,88.66666666666667,85.2,82.8,-12.0,90.8,0.693458201142328,0.30654179885767197,89.6,0.6,24.222222222222225,10.0,85.33333333333333,82.8,89.4,-7.8,93.2,0.7205171673679649,0.27948283263203505,91.0,2.4,26.09025974025974,5.0,184.0,180.6,,a59eb5f96bbf1e45008e6ab59d21db23,Las Vegas Aces,Toronto Tempo,173.94444444444446,174.0,173.5,174.5,1.0,9.0,18.0,LVA,TOR
CON @ IND,CON,IND,2026-08-28T21:32:39.679470+00:00,,177.55555555555554,,,73.0,74.0,79.1,-13.0,70.4,0.6874812878962604,0.3125187121037394,74.7,-14.2,26.193939393939395,4.0,99.66666666666667,94.6,102.1,6.2,91.8,0.7211576636189743,0.2788423363810258,92.9,5.4,24.79025974025974,8.0,162.2,167.60000000000002,,bf890f553715b7954a44f36770b69830,Indiana Fever,Connecticut Sun,177.55555555555554,177.5,177.0,178.0,1.0,9.0,18.0,IND,CON
POR @ ATL,POR,ATL,2026-08-28T21:32:39.679623+00:00,,178.66666666666666,,,,,,,,,,81.8,-3.4,,,100.66666666666667,94.4,94.3,10.4,83.8,0.767690036472564,0.23230996352743613,83.9,4.1,23.53246753246753,15.0,,165.7,,c006f8c7eb0093bcd146ea746609a5c1,Atlanta Dream,Portland Fire,178.66666666666666,178.5,178.5,179.5,1.0,9.0,18.0,ATL,POR
