GAME_ID,GAME_DATE,TEAM_1,TEAM_2,PTS_1,PTS_2,TOTAL_POINTS,MATCHUP_1,MATCHUP_2,TEAM_ROWS
1022500001,2025-05-16,ATL,WAS,90,94,184,ATL @ WAS,WAS vs. ATL,2
1022500002,2025-05-16,MIN,DAL,99,84,183,MIN @ DAL,DAL vs. MIN,2
1022500003,2025-05-16,GSV,LAS,67,84,151,GSV vs. LAS,LAS @ GSV,2
1022500004,2025-05-17,CHI,IND,58,93,151,CHI @ IND,IND vs. CHI,2
1022500005,2025-05-17,LVA,NYL,78,92,170,LVA @ NYL,NYL vs. LVA,2
1022500006,2025-05-17,SEA,PHX,59,81,140,SEA @ PHX,PHX vs. SEA,2
1022500007,2025-05-18,CON,WAS,85,90,175,CON vs. WAS,WAS @ CON,2
1022500008,2025-05-18,MIN,LAS,89,75,164,MIN @ LAS,LAS vs. MIN,2
1022500009,2025-05-19,SEA,DAL,79,71,150,SEA @ DAL,DAL vs. SEA,2
1022500010,2025-05-20,CON,LVA,62,87,149,CON vs. LVA,LVA @ CON,2
1022500011,2025-05-20,ATL,IND,91,90,181,ATL @ IND,IND vs. ATL,2
1022500012,2025-05-21,MIN,DAL,85,81,166,MIN vs. DAL,DAL @ MIN,2
1022500013,2025-05-21,GSV,WAS,76,74,150,GSV vs. WAS,WAS @ GSV,2
1022500014,2025-05-21,LAS,PHX,86,89,175,LAS @ PHX,PHX vs. LAS,2
1022500015,2025-05-22,ATL,IND,76,81,157,ATL vs. IND,IND @ ATL,2
1022500016,2025-05-22,CHI,NYL,74,99,173,CHI vs. NYL,NYL @ CHI,2
1022500017,2025-05-23,MIN,CON,76,70,146,MIN vs. CON,CON @ MIN,2
1022500018,2025-05-23,WAS,LVA,72,75,147,WAS @ LVA,LVA vs. WAS,2
1022500019,2025-05-23,GSV,LAS,82,73,155,GSV @ LAS,LAS vs. GSV,2
1022500020,2025-05-23,SEA,PHX,77,70,147,SEA vs. PHX,PHX @ SEA,2
1022500021,2025-05-24,IND,NYL,88,90,178,IND vs. NYL,NYL @ IND,2
1022500022,2025-05-24,ATL,DAL,83,75,158,ATL vs. DAL,DAL @ ATL,2
