SnapshotDate,SnapshotTimestamp,HealthScore,HealthLabel,SampleSize,BeatCloseRate,AvgCLVPoints,SignalWinRate,GradedSignals,InsightCount
2026-05-28,2026-05-28 02:19:09,36.4,LEARNING,14,14.3,0.0,0.0,0,9
2026-05-28,2026-05-28 02:21:00,43.8,LEARNING,15,20.0,1.367,0.0,0,40
2026-05-28,2026-05-28 02:21:21,43.8,LEARNING,15,20.0,1.367,0.0,0,40
2026-05-28,2026-05-28 02:27:12,43.2,LEARNING,16,31.2,0.719,0.0,0,38
2026-05-28,2026-05-28 10:01:45,63.2,LEARNING,16,31.2,0.719,60.0,5,60
2026-05-28,2026-05-28 10:40:53,63.2,LEARNING,16,31.2,0.719,60.0,5,22
2026-05-28,2026-05-28 10:52:35,63.2,LEARNING,16,31.2,0.719,60.0,5,22
2026-05-28,2026-05-28 10:54:28,63.2,LEARNING,16,31.2,0.719,60.0,5,22
2026-05-28,2026-05-28 12:11:06,63.2,LEARNING,16,31.2,0.719,60.0,5,33
2026-05-28,2026-05-28 12:23:41,63.2,LEARNING,16,31.2,0.719,60.0,5,33
2026-05-28,2026-05-28 13:34:06,64.2,LEARNING,12,41.7,0.542,60.0,5,22
2026-05-28,2026-05-28 14:49:28,56.4,LEARNING,15,13.3,0.033,60.0,5,22
2026-05-28,2026-05-28 15:12:48,56.4,LEARNING,15,13.3,0.033,60.0,5,22
2026-05-28,2026-05-28 15:13:38,56.4,LEARNING,15,13.3,0.033,60.0,5,22
2026-05-28,2026-05-28 15:27:44,58.2,LEARNING,15,20.0,0.133,60.0,5,22
2026-05-28,2026-05-28 16:22:23,58.2,LEARNING,15,20.0,0.133,60.0,5,22
2026-05-28,2026-05-28 16:55:59,58.2,LEARNING,15,20.0,0.133,60.0,5,22
2026-05-28,2026-05-28 16:58:19,58.2,LEARNING,15,20.0,0.133,60.0,5,22
2026-05-28,2026-05-28 17:44:09,58.7,LEARNING,17,23.5,0.059,60.0,5,22
2026-05-28,2026-05-28 20:43:43,58.7,LEARNING,17,23.5,0.059,60.0,5,22
2026-05-28,2026-05-28 21:23:56,51.9,LEARNING,19,26.3,0.053,60.0,5,22
2026-05-28,2026-05-28 22:08:20,51.9,LEARNING,19,26.3,0.053,60.0,5,22
2026-05-28,2026-05-28 22:13:39,51.9,LEARNING,19,26.3,0.053,60.0,5,22
2026-05-28,2026-05-28 23:19:54,53.1,LEARNING,20,30.0,0.125,60.0,5,22
2026-05-28,2026-05-28 23:21:09,53.1,LEARNING,20,30.0,0.125,60.0,5,22
