Group,SignalsWithCLV,BeatClose,PushClose,BeatCloseRate,AvgCLVPoints,AvgCLVPercent
Overall,20,6,6,30.0,0.125,0.066
FinalSignal: A-GRADE STRONG OVER,1,1,0,100.0,0.5,0.297
FinalSignal: LEAN OVER,3,0,2,0.0,-0.5,-0.293
FinalSignal: PASS,13,5,2,38.5,0.308,0.168
FinalSignal: STRONG OVER,2,0,1,0.0,-0.25,-0.147
FinalSignal: WATCHLIST OVER,1,0,1,0.0,0.0,0.0
Selection: OVER,17,4,5,23.5,-0.441,-0.26
Selection: UNDER,3,2,1,66.7,3.333,1.908
PaceDiag: NEGATIVE,7,3,2,42.9,1.143,0.651
PaceDiag: NEUTRAL,10,1,3,10.0,-0.8,-0.473
PaceDiag: POSITIVE,3,2,1,66.7,0.833,0.494
OffenseDiag: NEGATIVE,6,0,2,0.0,-1.083,-0.642
OffenseDiag: STRONG NEGATIVE,3,2,1,66.7,0.833,0.494
OffenseDiag: STRONG POSITIVE,11,4,3,36.4,0.591,0.335
EFGDiag: NEUTRAL,16,5,5,31.2,0.25,0.137
EFGDiag: POSITIVE,4,1,1,25.0,-0.375,-0.22
TOVDiag: NEGATIVE,4,1,1,25.0,-0.375,-0.22
TOVDiag: NEUTRAL,12,5,4,41.7,0.792,0.453
TOVDiag: POSITIVE,4,0,1,0.0,-1.375,-0.812
OREBDiag: NEGATIVE,7,3,2,42.9,1.143,0.651
OREBDiag: NEUTRAL,9,3,3,33.3,0.0,-0.0
OREBDiag: POSITIVE,4,0,1,0.0,-1.375,-0.812
